Date Occured,Time Occured,City,State,Country,Shape,Summary
12/29/1994,21:45,La Crosse,WA,USA,Chevron,"Three seemingly identical black, delta-shaped, ships with a very bright yellow or white ""headlight."""
8/25/1995,0:40,Greensburg,PA,USA,,Experienced UFO investigator calls to report receipt of multiple calls regarding bright obj. that had just passed N to S over W PA.
5/27/1997,11:33,,,Australia,Rectangle,a black metallic mass that looked similar to an aircraft carrier on its side (approx length 1500ft long-200-400ft across)
6/15/1977,3:00,"U.S.Navy-USS Glover AGFF-1-Burmuda Triangle, FL",,Puerto Rico/Burmuda (between),Circle,"I was on watch above the bridge port side when a bright red,orange-round object came out of the sky & approached our ship.The starboard"
1/24/2003,18:13,Kingston (Canada),ON,Canada,Triangle,black equilateral triangle with 3 glowing white dome lights at tips... directly above my car
3/8/2003,20:15,Greenbelt area,MD,USA,Chevron,"Totally Silent 'Flying Wing' Seen Twice Within D.C. Beltway, March 8, 2003"
5/1/2003,22:00,Seattle (West Seattle),WA,USA,Triangle,"Silent, triangular craft sighted over West Seattle"
2/16/2003,23:00,Seattle (Juanita area),WA,USA,,
6/15/1978,21:00,Mancelona,MI,USA,Disk,"We thought our foster daughter was kidding us, until we saw the metallic saucer shaped object humming loudly over the Michigan farmland"
5/29/1971,21:00,Palos Verde (northeast of),CA,USA,Sphere,"There seemed to be no dissipation of the glow coming from the sphere. It surrounded it, stretched in one direction and stopped!?"
7/6/2003,0:00,Undisclosed,,Unspecified,Unknown,"HBCCUFO CANADIAN REPORT:  Pictures Of An Unknown Craft, Daylight Sighting."
5/15/1977,8:00,Elmont,VA,USA,Disk,silver disk near Elmont Elementary School in 1977
9/17/2003,20:30,Atlanta,GA,USA,Egg,"Floating, silent panel of lights"
1/4/2004,14:30,Fort Myers,FL,USA,Disk,"A silver disk with a bulge on one face, maybe 30 feet across, reflected sunlight and bobbed around at 3-5000 feet."
3/17/2004,12:15,Santa Monica,CA,USA,Sphere,The craft came from the West out over the Pacific Ocean.  It was flying much higher than the Commercial Jet Traffic over Los Angeles.
5/20/1978,17:00,Atlantic Ocean/Caribbean sea,,Unspecified,Unknown,Supersonic clouds
4/10/2004,6:00,,CO,USA,,10 silver disks moving rapidly along the front range in colorado springs
4/2/1983,0:00,dont know,,Unspecified,,"Hi,  I’m writing to you because I wanted to talk to someone professional about my experiences. Never have I heard anyone talk about wha"
1/12/2005,19:05,Lancaster,CA,USA,Triangle,Triangular craft flies over highway... low altitude... then disappears only to reappear later
4/1/1945,10:00,Pacific Ocean,,Unspecified,Disk,"April, 1945 I saw a disc over our ship, all day as we neard Okinawa."
3/1/1994,2:00,"Atlantic Ocean (inflight, USN P-3)",,Atlantic Ocean,Cylinder,Dramatic P-3 Orion Encounter
4/10/1974,7:10,Hallsville,OH,USA,Sphere,Lighted sphere observed hovering in morning sky.
4/9/2005,19:09,Sidney,TX,USA,Triangle,English words identified on black triangular craft.
5/13/2005,0:18,Kirkland,WA,USA,Triangle,Black Triangle
4/1/1998,3:00,,,Unspecified,Triangle,"Around five years ago, while on one of my many engineering rated work assignments, I spotted three very large triangular objects"
6/2/2005,18:00,St. Louis,MO,USA,Cylinder,"Bizarre, shiny, cylindrical object that moved intelligently for 15 minutes in broad daylight (St. Louis)."
6/26/1972,10:00,Fort Beaufort (South Africa),,South Africa,Egg,Police officers fire shots at UFO in South Africa
10/27/2006,20:00,Hutchinson,KS,USA,Triangle,"Big, silent V-shaped craft with about 8 circle shaped  very dark dimmed lights or windows fly over home."
8/15/2005,21:00,USS Enterprise (at sea),,Unspecified,,Unknown craft lands on carrier deck.
3/30/2007,14:15,Rockville,MD,USA,Cigar,"I was taking a break and laying on the sidewalk in front of our office looking straight up into the sky. The weather was clear, visibil"
2/10/1999,23:00,Lake Makokibatan (Canada),ON,Canada,Orb,Orange sphere descends and touches surface of wilderness lake.
12/21/2007,22:00,Flushing,NY,USA,Triangle,Triangle shaped object with red lights in New York
6/1/1950,16:00,Philadelphia,MS,USA,Disk,Childhood sighting of disk witnessed by mother and sons.
7/2/2008,16:20,Lexington,KY,USA,Cross,Transparent  cross shaped object  at high altitude caught glare from sun and vanished seconds later
7/4/2008,22:35,Excelsior,MN,USA,Formation,"Formation of 10 to 12 square shaped objects observed over Excelsior, MN"
12/19/1999,15:00,Rio Piedras,PR,USA,Rectangle,"A huge rectangular craft with metal ibeams containg a yellow cylinder

 I was on the roof of my house  about to clean the leaves wh"
6/1/2010,22:56,Rouyn-Noranda,QC,Canada,Triangle,Black triangle / lights formation in triangle shape sighting with sound
6/2/2010,21:10,Tempe,AZ,USA,Disk,"Saucer shape, flying over Tempe, 6-7 white lights making a pattern as flew south. June 2, 2010 at apx, 9:10pm."
5/22/1973,23:00,"Atlantic Ocean (USCG Cutter ""Spencer"")",,Unspecified,,UFO sighting aboard Coast Guard Cutter Spencer
8/11/2010,1:00,Kent,WA,USA,Triangle,"Triangle UFO witnessed in Kent, Washinton at about 1am on Wednesday morning, 8/11/10."
5/8/2011,22:30,Bayfield,CO,USA,Diamond,"Diamond-shaped craft near Bayfield, CO."
11/16/2011,18:00,Berlin,WI,USA,Circle,Row of vertical rectangular lights framed by darkness illuminated a circular matte gray object.
4/28/2011,15:30,Singapore/Borneo (between) (in flight),,Singapore,Triangle,Black triangular object seen overtaking airplane during flight in Southeast Asia
5/22/2013,6:30,In flight,,Unspecified,Sphere,Unexplained glowing sphere in-flight en-route to LAX.  ((NUFORC Note:  Report from airline pilot.  PD))
8/19/2013,20:20,Galatia,IL,USA,Cylinder,"Aircraft with three large triangles of lights, one red triangle with two white triangles on each side rose from a nearby field."
9/26/2013,20:23,Turlock,CA,USA,Chevron,"Observed a ""V"" shaped UFO with 15 whitish-yellow lights traverse 105 degrees of sky in 10 seconds, on a heading of 150."
7/8/1947,0:00,,,Unspecified,,Crash site photo album.
12/1/2013,19:37,Oklahoma City (near),OK,USA,Circle,Bright orange-ish round objects over I-35
12/8/2014,22:00,Military training site,NM,USA,Formation,Three lights near our training site.
2/1/2015,19:40,Tempe,AZ,USA,Triangle,"I live in Tempe, AZ, a city in the Phoenix metroplex area.  As you are probably aware, the Super Bowl was hosted here in Pho"
3/5/2015,4:14,Stillwater,MN,USA,Triangle,Black triangle with 3 white lights and center red light.
3/9/2015,20:35,Florence,OR,USA,Other,Dark dome shaped object over house.
