Date Occured,Time Occured,City,State,Country,Shape,Summary,unique_id
12/29/1994,21:45,La Crosse,WA,USA,Chevron,"Three seemingly identical black, delta-shaped, ships with a very bright yellow or white ""headlight.""",1
8/25/1995,0:40,Greensburg,PA,USA,,Experienced UFO investigator calls to report receipt of multiple calls regarding bright obj. that had just passed N to S over W PA.,2
5/27/1997,11:33,,,Australia,Rectangle,a black metallic mass that looked similar to an aircraft carrier on its side (approx length 1500ft long-200-400ft across),3
6/15/1977,3:00,"U.S.Navy-USS Glover AGFF-1-Burmuda Triangle, FL",,Puerto Rico/Burmuda (between),Circle,"I was on watch above the bridge port side when a bright red,orange-round object came out of the sky & approached our ship.The starboard",4
1/24/2003,18:13,Kingston (Canada),ON,Canada,Triangle,black equilateral triangle with 3 glowing white dome lights at tips... directly above my car,5
3/8/2003,20:15,Greenbelt area,MD,USA,Chevron,"Totally Silent 'Flying Wing' Seen Twice Within D.C. Beltway, March 8, 2003",6
5/1/2003,22:00,Seattle (West Seattle),WA,USA,Triangle,"Silent, triangular craft sighted over West Seattle",7
2/16/2003,23:00,Seattle (Juanita area),WA,USA,,,8
6/15/1978,21:00,Mancelona,MI,USA,Disk,"We thought our foster daughter was kidding us, until we saw the metallic saucer shaped object humming loudly over the Michigan farmland",9
5/29/1971,21:00,Palos Verde (northeast of),CA,USA,Sphere,"There seemed to be no dissipation of the glow coming from the sphere. It surrounded it, stretched in one direction and stopped!?",10
7/6/2003,0:00,Undisclosed,,Unspecified,Unknown,"HBCCUFO CANADIAN REPORT:  Pictures Of An Unknown Craft, Daylight Sighting.",11
5/15/1977,8:00,Elmont,VA,USA,Disk,silver disk near Elmont Elementary School in 1977,12
9/17/2003,20:30,Atlanta,GA,USA,Egg,"Floating, silent panel of lights",13
1/4/2004,14:30,Fort Myers,FL,USA,Disk,"A silver disk with a bulge on one face, maybe 30 feet across, reflected sunlight and bobbed around at 3-5000 feet.",14
3/17/2004,12:15,Santa Monica,CA,USA,Sphere,The craft came from the West out over the Pacific Ocean.  It was flying much higher than the Commercial Jet Traffic over Los Angeles.,15
5/20/1978,17:00,Atlantic Ocean/Caribbean sea,,Unspecified,Unknown,Supersonic clouds,16
4/10/2004,6:00,,CO,USA,,10 silver disks moving rapidly along the front range in colorado springs,17
4/2/1983,0:00,dont know,,Unspecified,,"Hi,  I’m writing to you because I wanted to talk to someone professional about my experiences. Never have I heard anyone talk about wha",18
1/12/2005,19:05,Lancaster,CA,USA,Triangle,Triangular craft flies over highway... low altitude... then disappears only to reappear later,19
4/1/1945,10:00,Pacific Ocean,,Unspecified,Disk,"April, 1945 I saw a disc over our ship, all day as we neard Okinawa.",20
3/1/1994,2:00,"Atlantic Ocean (inflight, USN P-3)",,Atlantic Ocean,Cylinder,Dramatic P-3 Orion Encounter,21
4/10/1974,7:10,Hallsville,OH,USA,Sphere,Lighted sphere observed hovering in morning sky.,22
4/9/2005,19:09,Sidney,TX,USA,Triangle,English words identified on black triangular craft.,23
5/13/2005,0:18,Kirkland,WA,USA,Triangle,Black Triangle,24
4/1/1998,3:00,,,Unspecified,Triangle,"Around five years ago, while on one of my many engineering rated work assignments, I spotted three very large triangular objects",25
6/2/2005,18:00,St. Louis,MO,USA,Cylinder,"Bizarre, shiny, cylindrical object that moved intelligently for 15 minutes in broad daylight (St. Louis).",26
6/26/1972,10:00,Fort Beaufort (South Africa),,South Africa,Egg,Police officers fire shots at UFO in South Africa,27
10/27/2006,20:00,Hutchinson,KS,USA,Triangle,"Big, silent V-shaped craft with about 8 circle shaped  very dark dimmed lights or windows fly over home.",28
8/15/2005,21:00,USS Enterprise (at sea),,Unspecified,,Unknown craft lands on carrier deck.,29
